Grid size: 100x100
Iterations: 50
Total time: 0.6447 seconds
Time per iteration: 12.8942 ms
         1178390 function calls (1161290 primitive calls) in 1.234 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      630    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
       24    0.001    0.000    0.002    0.000 util.py:242(_collapse_string_to_ranges)
        1    0.000    0.000    0.002    0.002 numerictypes.py:1(<module>)
 1703/193    0.000    0.000    0.002    0.000 <frozen abc>:121(__subclasscheck__)
      431    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.002    0.002 subprocess.py:1(<module>)
 1703/193    0.002    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.002    0.002 texmanager.py:1(<module>)
       67    0.002    0.000    0.002    0.000 colors.py:1134(reversed)
        1    0.000    0.000    0.002    0.002 transforms.py:1(<module>)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
     5615    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
    10958    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.002    0.002 pickle.py:1(<module>)
        1    0.000    0.000    0.002    0.002 axes3d.py:41(Axes3D)
        1    0.000    0.000    0.002    0.002 format.py:1(<module>)
        1    0.000    0.000    0.002    0.002 version.py:310(Version)
      630    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      465    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        7    0.000    0.000    0.002    0.000 enum.py:863(_create_)
        1    0.000    0.000    0.002    0.002 ipaddress.py:1(<module>)
     3544    0.002    0.000    0.002    0.000 inspect.py:3045(<genexpr>)
       70    0.000    0.000    0.002    0.000 typing.py:1390(copy_with)
        2    0.000    0.000    0.002    0.001 dataclasses.py:1257(wrap)
        2    0.000    0.000    0.002    0.001 dataclasses.py:921(_process_class)
      600    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      330    0.000    0.000    0.002    0.000 typing.py:723(<genexpr>)
       43    0.000    0.000    0.002    0.000 core.py:4843(<genexpr>)
      324    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
        1    0.000    0.000    0.002    0.002 pathlib.py:812(PureWindowsPath)
    10884    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.002    0.002 hashlib.py:1(<module>)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:1171(exec_module)
        1    0.000    0.000    0.002    0.002 <frozen ntpath>:1(<module>)
      544    0.000    0.000    0.002    0.000 __init__.py:164(match)
        1    0.000    0.000    0.002    0.002 _tripcolor.py:1(<module>)
      752    0.001    0.000    0.002    0.000 inspect.py:175(get_annotations)
      853    0.001    0.000    0.001    0.000 inspect.py:747(unwrap)
        1    0.000    0.000    0.001    0.001 _format_impl.py:1(<module>)
      561    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.001    0.001 _polynomial_impl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 tz.py:1(<module>)
        1    0.000    0.000    0.001    0.001 plistlib.py:1(<module>)
      362    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      195    0.000    0.000    0.001    0.000 inspect.py:3066(replace)
      100    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
       24    0.001    0.000    0.001    0.000 deprecation.py:126(deprecate)
        1    0.000    0.000    0.001    0.001 ExifTags.py:21(Base)
       76    0.001    0.000    0.001    0.000 typing.py:1609(__hash__)
     6198    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
       26    0.000    0.000    0.001    0.000 core.py:7037(_frommethod)
   298/41    0.000    0.000    0.001    0.000 ast.py:403(visit)
     7631    0.001    0.000    0.001    0.000 enum.py:1129(__new__)
       22    0.000    0.000    0.001    0.000 core.py:5663(parseImpl)
        1    0.000    0.000    0.001    0.001 case.py:1(<module>)
        2    0.000    0.000    0.001    0.001 core.py:6784(srange)
      830    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
        8    0.001    0.000    0.001    0.000 enum.py:1708(convert_class)
        1    0.000    0.000    0.001    0.001 backend_tools.py:1(<module>)
        1    0.000    0.000    0.001    0.001 cbook.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _afm.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _function_base_impl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:469(StrFormatStyle)
     7932    0.001    0.000    0.001    0.000 _parser.py:240(__next)
       28    0.000    0.000    0.001    0.000 _docstring.py:79(<genexpr>)
      648    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
     7599    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.001    0.001 inset.py:1(<module>)
        1    0.000    0.000    0.001    0.001 helpers.py:697(make_html_tags)
        1    0.000    0.000    0.001    0.001 decimal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 helpers.py:638(_makeTags)
        1    0.000    0.000    0.001    0.001 core.py:397(ParserElement)
  278/178    0.000    0.000    0.001    0.000 core.py:2174(name)
      324    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
     4462    0.001    0.000    0.001    0.000 typing.py:1599(<genexpr>)
     22/3    0.000    0.000    0.001    0.000 core.py:4536(streamline)
       39    0.000    0.000    0.001    0.000 colors.py:419(to_rgba_array)
   274/19    0.000    0.000    0.001    0.000 ast.py:409(generic_visit)
  208/115    0.000    0.000    0.001    0.000 core.py:2127(default_name)
       12    0.000    0.000    0.001    0.000 dataclasses.py:449(_create_fn)
      458    0.001    0.000    0.001    0.000 _inspect.py:66(getargs)
        5    0.000    0.000    0.001    0.000 inspect.py:2350(_signature_from_builtin)
       14    0.000    0.000    0.001    0.000 core.py:120(doc_note)
      445    0.000    0.000    0.001    0.000 copy.py:247(_reconstruct)
        5    0.000    0.000    0.001    0.000 inspect.py:2208(_signature_fromstr)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        3    0.000    0.000    0.001    0.000 _common.py:1(<module>)
     30/4    0.000    0.000    0.001    0.000 core.py:4370(streamline)
      747    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      418    0.000    0.000    0.001    0.000 inspect.py:2781(replace)
      356    0.000    0.000    0.001    0.000 inspect.py:784(_findclass)
 4310/959    0.001    0.000    0.001    0.000 __init__.py:368(recursive_subclasses)
       44    0.000    0.000    0.001    0.000 _base.py:67(__set_name__)
       27    0.000    0.000    0.001    0.000 _add_newdocs_scalars.py:76(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.001    0.001 _utils_impl.py:1(<module>)
     78/4    0.000    0.000    0.001    0.000 core.py:1083(_parseCache)
     2890    0.001    0.000    0.001    0.000 _parser.py:176(append)
       90    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
     7366    0.001    0.000    0.001    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
      300    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
     2443    0.001    0.000    0.001    0.000 typing.py:1246(<genexpr>)
     5558    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
      224    0.000    0.000    0.001    0.000 _parser.py:98(closegroup)
       83    0.000    0.000    0.001    0.000 core.py:4286(__init__)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
1462/1282    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 _text_helpers.py:1(<module>)
       89    0.000    0.000    0.001    0.000 inspect.py:3262(__str__)
    38/18    0.000    0.000    0.001    0.000 core.py:5146(parseImpl)
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
        1    0.000    0.000    0.001    0.001 dates.py:1(<module>)
      195    0.001    0.000    0.001    0.000 _shape_base_impl.py:625(column_stack)
        1    0.000    0.000    0.001    0.001 _arraysetops_impl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 argparse.py:1776(__init__)
      127    0.000    0.000    0.001    0.000 core.py:3487(copy)
      400    0.000    0.000    0.001    0.000 typing.py:1178(__getattr__)
     1271    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
        1    0.000    0.000    0.001    0.001 tempfile.py:1(<module>)
       33    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
